loanID,accountPayID,loan,reason,job,yoj,createDate,expire,period,rate,status,bad,paymentDate
1,1333924038,21865228,debtcon,other,31,2024-09-12 05:31:00,2027-03-12 05:31:00,thirty month,16.0,,,
2,7976125545,40623327,homeimp,mgr,18,2024-09-12 05:32:00,2025-03-12 05:32:00,six month,3.0,accept,,
3,3052928452,4619937,debtcon,other,18,2024-09-12 05:33:00,2029-09-12 05:33:00,sixty month,30.0,,,
4,5920548482,45701409,debtcon,office,23,2024-09-12 05:34:00,2027-09-12 05:34:00,thirty-six month,19.0,,,
5,3052928452,19131011,debtcon,self,6,2024-09-12 05:35:00,2026-03-12 05:35:00,eighteen month,10.0,reject,,
6,7976125545,20217388,homeimp,office,32,2024-09-12 05:36:00,2026-03-12 05:36:00,eighteen month,10.0,accept,,
7,3960086839,3120049,debtcon,other,23,2024-09-12 05:37:00,2025-09-12 05:37:00,twelve month,6.0,,,
8,7976125545,9854308,homeimp,profexe,40,2024-09-12 05:38:00,2029-03-12 05:38:00,fifty-four month,28.0,reject,,
9,6496913603,39619274,debtcon,other,29,2024-09-12 05:39:00,2026-09-12 05:39:00,twenty-four month,13.0,reject,,
10,7976125545,43698552,debtcon,mgr,31,2024-09-12 05:40:00,2027-09-12 05:40:00,thirty-six month,19.0,,,
11,6496913603,16355687,debtcon,office,17,2024-09-12 05:41:00,2028-03-12 05:41:00,forty-two month,22.0,,,
12,1333924038,16352635,debtcon,office,13,2024-09-12 05:42:00,2029-09-12 05:42:00,sixty month,30.0,,,
13,5920548482,1307795,debtcon,office,9,2024-09-12 05:43:00,2027-09-12 05:43:00,thirty-six month,19.0,accept,,
14,2843848429,44036624,debtcon,office,24,2024-09-12 05:44:00,2026-03-12 05:44:00,eighteen month,10.0,,,
15,3052928452,42555336,debtcon,self,31,2024-09-12 05:45:00,2026-09-12 05:45:00,twenty-four month,13.0,,,
16,6496913603,37090401,debtcon,profexe,28,2024-09-12 05:46:00,2026-03-12 05:46:00,eighteen month,10.0,accept,,
17,5920548482,24287931,homeimp,profexe,32,2024-09-12 05:47:00,2028-03-12 05:47:00,forty-two month,22.0,reject,,
18,5920548482,40596508,homeimp,mgr,25,2024-09-12 05:48:00,2028-03-12 05:48:00,forty-two month,22.0,accept,,
19,8203283023,45062392,debtcon,self,24,2024-09-12 05:49:00,2024-10-12 05:49:00,one month,0.5,accept,,
20,8203283023,40225538,debtcon,office,19,2024-09-12 05:50:00,2027-03-12 05:50:00,thirty month,16.0,reject,,
21,1333924038,18054319,homeimp,office,3,2024-09-12 05:51:00,2025-09-12 05:51:00,twelve month,6.0,reject,,
22,6496913603,34173284,debtcon,self,18,2024-09-12 05:52:00,2026-09-12 05:52:00,twenty-four month,13.0,accept,,
23,1333924038,21244152,homeimp,profexe,22,2024-09-12 05:53:00,2029-09-12 05:53:00,sixty month,30.0,reject,,
24,1333924038,5611870,homeimp,self,4,2024-09-12 05:54:00,2026-09-12 05:54:00,twenty-four month,13.0,,,
25,7976125545,4097420,debtcon,other,19,2024-09-12 05:55:00,2029-03-12 05:55:00,fifty-four month,28.0,accept,,
26,3960086839,26186536,homeimp,office,6,2024-09-12 05:56:00,2024-10-12 05:56:00,one month,0.5,,,
27,9274922399,26359718,homeimp,other,19,2024-09-12 05:57:00,2026-09-12 05:57:00,twenty-four month,13.0,,,
28,9274922399,32712327,debtcon,sales,10,2024-09-12 05:58:00,2025-09-12 05:58:00,twelve month,6.0,reject,,
29,8203283023,25160667,homeimp,office,27,2024-09-12 05:59:00,2026-09-12 05:59:00,twenty-four month,13.0,accept,,
30,2843848429,2444803,debtcon,other,8,2024-09-12 06:00:00,2028-03-12 06:00:00,forty-two month,22.0,,,
31,1333924038,3026601,debtcon,self,17,2024-09-12 06:01:00,2028-09-12 06:01:00,forty-eight month,25.0,reject,,
32,1333924038,42817068,debtcon,self,27,2024-09-12 06:02:00,2026-09-12 06:02:00,twenty-four month,13.0,accept,,
33,9274922399,24177689,homeimp,self,3,2024-09-12 06:03:00,2027-03-12 06:03:00,thirty month,16.0,reject,,
34,3960086839,8397912,homeimp,profexe,35,2024-09-12 06:04:00,2029-09-12 06:04:00,sixty month,30.0,reject,,
35,6496913603,32526188,homeimp,mgr,14,2024-09-12 06:05:00,2028-03-12 06:05:00,forty-two month,22.0,,,
36,8203283023,46364523,debtcon,self,8,2024-09-12 06:06:00,2028-09-12 06:06:00,forty-eight month,25.0,reject,,
37,3052928452,19498051,homeimp,profexe,21,2024-09-12 06:07:00,2026-03-12 06:07:00,eighteen month,10.0,,,
38,5920548482,3738993,debtcon,other,12,2024-09-12 06:08:00,2028-09-12 06:08:00,forty-eight month,25.0,accept,,
39,8203283023,23217721,homeimp,mgr,22,2024-09-12 06:09:00,2024-10-12 06:09:00,one month,0.5,,,
40,8203283023,47557666,debtcon,mgr,0,2024-09-12 06:10:00,2026-09-12 06:10:00,twenty-four month,13.0,accept,,
41,3960086839,3967848,homeimp,office,24,2024-09-12 06:11:00,2027-03-12 06:11:00,thirty month,16.0,,,
42,2843848429,40461589,debtcon,sales,7,2024-09-12 06:12:00,2024-10-12 06:12:00,one month,0.5,accept,,
43,8203283023,5721652,debtcon,profexe,33,2024-09-12 06:13:00,2024-10-12 06:13:00,one month,0.5,accept,,
44,7976125545,27453662,homeimp,mgr,5,2024-09-12 06:14:00,2027-03-12 06:14:00,thirty month,16.0,reject,,
45,9274922399,6899044,homeimp,office,4,2024-09-12 06:15:00,2029-03-12 06:15:00,fifty-four month,28.0,,,
46,8203283023,5910901,homeimp,self,0,2024-09-12 06:16:00,2024-10-12 06:16:00,one month,0.5,accept,,
47,3960086839,33757543,debtcon,sales,25,2024-09-12 06:17:00,2027-09-12 06:17:00,thirty-six month,19.0,reject,,
48,6496913603,44821110,homeimp,self,19,2024-09-12 06:18:00,2028-09-12 06:18:00,forty-eight month,25.0,reject,,
49,9274922399,49881020,debtcon,self,2,2024-09-12 06:19:00,2026-03-12 06:19:00,eighteen month,10.0,reject,,
50,6496913603,30838791,homeimp,office,20,2024-09-12 06:20:00,2027-03-12 06:20:00,thirty month,16.0,accept,,
51,3052928452,24253716,debtcon,sales,12,2024-09-12 06:21:00,2024-10-12 06:21:00,one month,0.5,accept,,
52,6303485293,46895516,debtcon,self,14,2024-09-12 06:22:00,2029-03-12 06:22:00,fifty-four month,28.0,accept,,
53,6496913603,20725737,debtcon,other,12,2024-09-12 06:23:00,2026-03-12 06:23:00,eighteen month,10.0,,,
54,1333924038,26504758,debtcon,other,28,2024-09-12 06:24:00,2025-09-12 06:24:00,twelve month,6.0,reject,,
55,7976125545,34922174,debtcon,sales,5,2024-09-12 06:25:00,2024-10-12 06:25:00,one month,0.5,reject,,
56,3960086839,14921433,homeimp,self,25,2024-09-12 06:26:00,2029-09-12 06:26:00,sixty month,30.0,accept,,
57,7976125545,36278780,debtcon,office,5,2024-09-12 06:27:00,2026-09-12 06:27:00,twenty-four month,13.0,reject,,
58,9274922399,18315986,homeimp,self,18,2024-09-12 06:28:00,2028-09-12 06:28:00,forty-eight month,25.0,accept,,
59,1333924038,13169751,debtcon,mgr,40,2024-09-12 06:29:00,2028-03-12 06:29:00,forty-two month,22.0,accept,,
60,9274922399,32295262,debtcon,office,37,2024-09-12 06:30:00,2026-03-12 06:30:00,eighteen month,10.0,,,
61,5920548482,39798714,debtcon,office,13,2024-09-12 06:31:00,2028-09-12 06:31:00,forty-eight month,25.0,accept,,
62,6303485293,4797276,homeimp,office,19,2024-09-12 06:32:00,2026-09-12 06:32:00,twenty-four month,13.0,reject,,
63,7976125545,28974930,homeimp,sales,35,2024-09-12 06:33:00,2027-03-12 06:33:00,thirty month,16.0,reject,,
64,3052928452,45845011,homeimp,office,3,2024-09-12 06:34:00,2024-10-12 06:34:00,one month,0.5,accept,,
65,2843848429,31709235,homeimp,other,32,2024-09-12 06:35:00,2029-09-12 06:35:00,sixty month,30.0,,,
66,2843848429,29794516,homeimp,mgr,26,2024-09-12 06:36:00,2028-03-12 06:36:00,forty-two month,22.0,accept,,
67,6303485293,39806941,homeimp,self,28,2024-09-12 06:37:00,2026-03-12 06:37:00,eighteen month,10.0,accept,,
68,2843848429,10431481,homeimp,sales,25,2024-09-12 06:38:00,2027-09-12 06:38:00,thirty-six month,19.0,,,
69,1333924038,49881614,debtcon,office,13,2024-09-12 06:39:00,2028-09-12 06:39:00,forty-eight month,25.0,reject,,
70,7976125545,14993300,homeimp,mgr,3,2024-09-12 06:40:00,2027-09-12 06:40:00,thirty-six month,19.0,reject,,
71,7976125545,8730023,debtcon,self,8,2024-09-12 06:41:00,2027-09-12 06:41:00,thirty-six month,19.0,reject,,
72,3960086839,9752541,homeimp,office,3,2024-09-12 06:42:00,2028-09-12 06:42:00,forty-eight month,25.0,,,
73,9274922399,34379676,homeimp,sales,20,2024-09-12 06:43:00,2026-03-12 06:43:00,eighteen month,10.0,reject,,
74,2843848429,25557630,debtcon,sales,32,2024-09-12 06:44:00,2029-09-12 06:44:00,sixty month,30.0,reject,,
75,9274922399,38330070,debtcon,sales,33,2024-09-12 06:45:00,2024-10-12 06:45:00,one month,0.5,reject,,
76,9274922399,16437395,homeimp,sales,9,2024-09-12 06:46:00,2024-10-12 06:46:00,one month,0.5,,,
77,1333924038,37900610,homeimp,self,19,2024-09-12 06:47:00,2029-03-12 06:47:00,fifty-four month,28.0,,,
78,6303485293,38958988,homeimp,sales,15,2024-09-12 06:48:00,2026-09-12 06:48:00,twenty-four month,13.0,accept,,
79,9274922399,46153064,homeimp,self,18,2024-09-12 06:49:00,2026-09-12 06:49:00,twenty-four month,13.0,accept,,
80,3960086839,7872769,homeimp,sales,20,2024-09-12 06:50:00,2028-09-12 06:50:00,forty-eight month,25.0,accept,,
81,2843848429,29152949,homeimp,other,21,2024-09-12 06:51:00,2028-09-12 06:51:00,forty-eight month,25.0,reject,,
82,2843848429,3957403,debtcon,sales,37,2024-09-12 06:52:00,2025-03-12 06:52:00,six month,3.0,reject,,
83,3960086839,23097220,debtcon,sales,15,2024-09-12 06:53:00,2025-03-12 06:53:00,six month,3.0,reject,,
84,2843848429,5420223,homeimp,profexe,9,2024-09-12 06:54:00,2028-03-12 06:54:00,forty-two month,22.0,accept,,
